,tweet,class
15773, jaydillz my babies pussy is too tight today t co if k v ro,1
1517, seymourblanco they game is over fuck yall bitches amp yall attitudes t co rlrnybfedt ,1
8332,can you let me stretch that pussy out or nahhh,1
8814,don t mind that twinkies are gonna be gone very concerned about the rest of hostesses product line,2
8279,cnt nobody be mad at who he choose to be with i can t be mad at no bitch its the nigga so hay,1
15216, foodpornsx ultimate chocolate chip cookie n oreo fudge brownie bar t co yvxijmmcp,2
16139, landontours nice baby bump bitch ,1
17501, swizzzy peeps are trash marsh mellows in general are trash,2
18451, honeysays nipseyhussle sometime u gotta shut down all tha fun and get tha rite get ugly on these hoes and eat ,1
286, youngricooo sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday,1
19781, ockfromdablock i d go crazy if these animals like them grabbed my mama like that i ain t going out like no bitch t co sulnmnc ,1
458, her great grandmas a hoeher grandmas a hoeher moms and a hoe and she s a hoe it s a long line of hoes grandpa carl everyone,1
1198, comedianspank where the hoes at shit u got em,1
451, get your ass back to detroit ya fuckin wigger ,1
4618, s roach happy birthday nicca do coon shit in a responsible way ,0
4515, rellokid george didn t have a twitter called no limit nigga where he talked about fighting drugs guns and bitches and hoes ,1
15127, erv montana in the bitch we prolly hit the same bitch in the bitch we gone bang the same shit in the bitch we prollu hit ,1
12284,lmfaoo somebody commented on my book saying i need medical attention bitch you the one reading it ,1
8233,bunch of hurt niggas amp bitches on my ig timeline tonight muhfuckas lame as hell b,1
24740,yeah i got soul i was brought up by colored women ,1
14075, aianhangover karma is only a bitch to bitches ,1
21372,that bitch is goin off off off ,1
24454,someone just called someone a bitch ass nigga on black ops,1
15537, huffingtonpost obama i will always do what is necessary to protect the american people and defend against evolving threats to our ho ,2
4284, noinfidel now kindly fuck off like you said you were twice you sound like a little bitch bitching fuckin stalker ,1
11842,iont care about where a n a been where a bitch goin or the kinda shit they been thru ,1
21063,someone at my household wants to die i get all excited to enjoy a couple of oreos but someone left only one one friggin oreo ,2
437, don t worry about the nigga you see worry about the nigga you don t see dat s da nigga fuckin yo bitch ,0
1755, drphildontehue you know idgaf about a woman s lingerie matching when i love hairy pussy so much ,1
13375,no i don t love these hoes and fuck these niggas fuckem,1
691,duh transhuman that s because they re possibly tucking a penis emperorira this bitch got man boobs t co vjvxwlrjop ,1
5671, brrrrangadang this nigga know damn well you a coon,0
15597, icysoleonline should of been a cork sole johnny blaz why is there no cork on the wtl xi ,2
6176, inthekcmix it s twitter that s what folks do same folks be mad when someone calls them a nigger on here ,1
2448, andyheybro the distant chugs at the end of dried up remain to be some of the most perfectly heavy guitars ever recorded ,2
2952, damianhuffaker you re from a trash can,2
1479, rawritstaraa trust these bitches nah ,1
81, bill nel ayden bitches be wanting to act like niggas so bad that shit aint cuteeeee but niggas act like bitches ,1
1918, taylorsimonee i tend to have more sense that bitches older than me that s sad ,1
12242,kinda want to spit my gum into some bitches hair ,1
13604,omg bruh said this bitch look like a female jb smoove lmao t co ur n iuwjm,1
8718,did i just see a white bitch getting licked between her legs by a dog nasty fuck ,1
13475,now i m gook boy shawty t co laaahstyeb,2
294, sugga there s a lane some bitches need to stay in the left n get right the fuck outta our face ,1
23388,you niggas that would rather your girl wear jeans and js instead of a tight dress and heels are faggots ,1
6361, kay reneaa holy fuck thank you i hate bitches that just fuck their ex then their boyfriend then back to back like damn call you peace pipe,1
3558, jperzell shit pic master hoe protecting ass bow tie nigga,1
8076,bitches be wearing extensions fake eye lashes and make up talkin bout they bad bitches no bitch you are not bad you re a created player,1
2041, i ain t trippen cause i like her anyways she got a niggah and i got a girl but anyways yea anyways ,1
17612, thatdamnham otw to dc hopefully i ll see my best bitch napturallydev that would make my day ,1
4469, rem supahfienmode bitch ass jorge haha ain t you at work nigga ,1
16263, longestmonday i aint got no problem chicks goin on vacay to the states to be hoes just declare ya aids at the border when ya come back,1
6325, justinmiculka oh what hoe is she trippin bout then,1
12593,lol at these honkies talking trash i m done with this shit growup whitetrash,1
4894, thatchriseckert gobble de gook,2
5294, c parris your picture makes you look like a serious fag justsayin lol,0
